Epoch 1/2
	 * Train loss: 2.846158209108699
	 * Validation loss: 2.850098661075896
Epoch 2/2
	 * Train loss: 2.777072689969376
	 * Validation loss: 2.8156563796617338
Accuracy on test data: 0.1527777777777778
         82445611 function calls (82409333 primitive calls) in 200.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    0.004    0.002 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/cbook.py:35(_get_running_interactive_framework)
13617/8253    0.002    0.000    0.012    0.000 {built-in method builtins.hash}
     7854    0.002    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/function_base.py:348(iterable)
      400    0.002    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/autograd/profiler.py:593(__init__)
4304/3818    0.002    0.000    0.015    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:141(__exit__)
     1171    0.002    0.000    0.003    0.000 {method 'format' of 'str' objects}
        6    0.002    0.000    0.002    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      804    0.002    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/utils.py:273(_is_ascii)
     4304    0.002    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:299(helper)
     6207    0.002    0.000    0.010    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:416(pchanged)
        2    0.002    0.001    1.167    0.583 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/pyplot.py:777(figure)
     4149    0.002    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
     2658    0.002    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1291(set_ydata)
     2728    0.002    0.000    0.007    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
     3105    0.002    0.000    0.007    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/colors.py:268(to_rgba)
     1288    0.002    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2043(scale)
     4041    0.002    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/colors.py:216(_is_nth_color)
      466    0.002    0.000    0.015    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/patches.py:746(get_patch_transform)
      800    0.002    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:595(__init__)
      400    0.002    0.000    0.120    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:1325(refresh)
     1122    0.002    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2897(_interval_contains_close)
     1828    0.002    0.000    0.010    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:813(from_extents)
      446    0.002    0.000    0.033    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:187(draw_text)
     2328    0.002    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:1270(set_xdata)
     1277    0.002    0.000    0.015    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1472(transform)
     2749    0.002    0.000    0.007    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
        1    0.001    0.001    0.717    0.717 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:1(<module>)
     3586    0.001    0.000    0.008    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1782(transform)
      402    0.001    0.000    0.113    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:1464(display)
     7245    0.001    0.000    0.015    0.000 <frozen abc>:117(__instancecheck__)
     4139    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.001    0.001  200.967  200.967 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:238(run_training)
        4    0.001    0.000    0.001    0.000 {method 'random_' of 'torch._C.TensorBase' objects}
       22    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     1575    0.001    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1279(_preprocess_math)
      408    0.001    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:102(acquire)
      731    0.001    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:766(__init__)
       19    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      910    0.001    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1173(score_stretch)
      642    0.001    0.000    0.019    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1233(findfont)
      910    0.001    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1115(score_family)
      245    0.001    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:2817(nonsingular)
     3923    0.001    0.000    0.001    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:1262(set_text)
      449    0.001    0.000    0.021    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:772(set_clip_path)
     4039    0.001    0.000    0.005    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:158(invalidate)
     1206    0.001    0.000    0.055    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/utils.py:378(disp_len)
      580    0.001    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:626(translated)
4304/3818    0.001    0.000    0.017    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
     1206    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      110    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      398    0.001    0.000    0.276    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py:46(fetch)
     3549    0.001    0.000    0.016    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:899(copy)
